"BYDay","Daily_P","Date"
303,0.000117790402172147,2013-03-31
304,0.000112646758755544,2013-04-01
305,0.000107581583275937,2013-04-02
306,0.000102593948877784,2013-04-03
307,9.76846406609915e-05,2013-04-04
308,9.28559490657829e-05,2013-04-05
309,8.81114548398173e-05,2013-04-06
310,8.34558087570146e-05,2013-04-07
311,7.8894509460499e-05,2013-04-08
312,7.44336828938005e-05,2013-04-09
313,7.00798667656655e-05,2013-04-10
314,6.58398033697729e-05,2013-04-11
315,6.17202438596265e-05,2013-04-12
316,5.77277667728768e-05,2013-04-13
317,5.38686132220148e-05,2013-04-14
318,5.01485407357845e-05,2013-04-15
319,4.65726972643109e-05,2013-04-16
320,4.31455163679623e-05,2013-04-17
321,3.98706341119715e-05,2013-04-18
322,3.67508277015547e-05,2013-04-19
323,3.37879754299617e-05,2013-04-20
324,3.09830370869374e-05,2013-04-21
325,2.83360535977577e-05,2013-04-22
326,2.58461643411628e-05,2013-04-23
327,2.35116403336388e-05,2013-04-24
328,2.13299312705855e-05,2013-04-25
329,1.92977242827e-05,2013-04-26
330,1.74110121968799e-05,2013-04-27
331,1.5665169081949e-05,2013-04-28
332,1.40550309053741e-05,2013-04-29
333,1.25749792219348e-05,2013-04-30
334,1.12190259516698e-05,2013-05-01
335,9.9808974747617e-06,2013-05-02
336,8.85411646728935e-06,2013-05-03
337,7.83208011593395e-06,2013-05-04
338,6.90813357418279e-06,2013-05-05
339,6.0756377500533e-06,2013-05-06
340,5.32803073946658e-06,2013-05-07
341,4.65888243439318e-06,2013-05-08
342,4.06194203619599e-06,2013-05-09
343,3.53117838824953e-06,2013-05-10
344,3.06081320537384e-06,2013-05-11
345,2.64534741882634e-06,2013-05-12
346,2.27958097377308e-06,2013-05-13
347,1.95862651102547e-06,2013-05-14
348,1.67791743703425e-06,2013-05-15
349,1.43321093674457e-06,2013-05-16
350,1.22058651456593e-06,2013-05-17
351,1.03644066141245e-06,2013-05-18
352,8.77478242658852e-07,2013-05-19
353,7.40701185342973e-07,2013-05-20
354,6.23395015393688e-07,2013-05-21
355,5.23113759431797e-07,2013-05-22
356,4.37663683040172e-07,2013-05-23
357,3.6508629038925e-07,2013-05-24
358,3.03640960662813e-07,2013-05-25
359,2.51787546449875e-07,2013-05-26
360,2.08169209644132e-07,2013-05-27
361,1.71595722513746e-07,2013-05-28
362,1.41027416449096e-07,2013-05-29
363,1.15559919127518e-07,2013-05-30
364,9.44097829251599e-08,2013-05-31
365,7.69010736982752e-08,2013-06-01
366,6.2452959573963e-08,2013-06-02
